coordinateID,geoID,geoName,longitude,latitude
c367,12,Tlalpan,-99.2062207957,19.1983396763
c368,10,Álvaro Obregón,-99.246819712,19.336175562
c369,15,Cuauhtémoc,-99.1490557562,19.4313734294
c370,15,Cuauhtémoc,-99.1490557562,19.4313734294
c371,17,Venustiano Carranza,-99.259495,19.3863707
c372,3,Coyoacán,-99.1503763525,19.3266672536
c373,12,Tlalpan,-99.2058092,19.2970107
c374,12,Tlalpan,-99.2062207957,19.1983396763
c375,12,Tlalpan,-99.1600234,19.152878
c376,10,Álvaro Obregón,-99.246819712,19.336175562
c377,14,Benito Juárez,-99.1611346584,19.3806424162
c378,2,Azcapotzalco,-99.1821069423,19.4853286147
c379,10,Álvaro Obregón,-99.246819712,19.336175562
c380,16,Miguel Hidalgo,-99.1843501,19.3998346
c381,3,Coyoacán,-99.1503763525,19.3266672536
c382,4,Cuajimalpa de Morelos,-99.3107285253,19.3246343001
c383,10,Álvaro Obregón,-99.1919955,19.357102
c384,12,Tlalpan,-99.2062207957,19.1983396763
c385,12,Tlalpan,-99.2062207957,19.1983396763
c386,12,Tlalpan,-99.2062207957,19.1983396763
c387,7,Iztapalapa,-99.067766,19.3668621
c388,10,Álvaro Obregón,-99.1919955,19.357102
c389,12,Tlalpan,-99.2062207957,19.1983396763
c390,12,Tlalpan,-99.2062207957,19.1983396763
c391,10,Álvaro Obregón,-99.246819712,19.336175562
c392,3,Coyoacán,-99.1503763525,19.3266672536
c393,15,Cuauhtémoc,-99.1490557562,19.4313734294
c394,12,Tlalpan,-99.140238,19.2846922
c395,12,Tlalpan,-99.2062207957,19.1983396763
c396,10,Álvaro Obregón,-99.1919955,19.357102
c397,14,Benito Juárez,-99.1611346584,19.3806424162
c398,16,Miguel Hidalgo,-99.1843501,19.3998346
c399,2,Azcapotzalco,-99.1821069423,19.4853286147
c400,10,Álvaro Obregón,-99.1919955,19.357102
c401,2,Azcapotzalco,-99.1821069423,19.4853286147
c402,7,Iztapalapa,-99.0567989642,19.3491663204
c403,16,Miguel Hidalgo,-99.259495,19.3863707
