pivotID,pubID,topicID,prevalence
t488,1128297685667106818,3,0.40398273
t489,1128302626288746499,2,0.57094216
t490,1128302626288746499,3,0.4131147
t491,1128302626288746499,4,0.012574584
t492,1128309451985829888,3,0.9726101
t493,1128309451985829888,4,0.014981661
t494,1128331402624348162,2,0.97529167
t495,1128331402624348162,3,0.01097339
t496,1128331402624348162,4,0.0108330045
t497,1128338195706286080,2,0.84572667
t498,1128338195706286080,3,0.14615709
t499,1128338678605058048,2,0.9713208
t500,1128338678605058048,3,0.012736967
t501,1128338678605058048,4,0.012573865
t502,1128340498484273153,2,0.9658293
t503,1128340498484273153,3,0.015175839
t504,1128340498484273153,4,0.014981552
t505,1128381659798286336,2,0.12949945
t506,1128381659798286336,3,0.862998
t507,1128418435527004165,3,0.97701204
t508,1128418435527004165,4,0.012574044
t509,1128455262312988674,2,0.45962405
t510,1128455262312988674,3,0.521381
t511,1128455262312988674,4,0.0149816265
t512,1128491998451650560,3,0.98260355
t513,1128492041300848645,2,0.6656392
t514,1128492041300848645,3,0.3255214
t515,1128515129560186880,3,0.9826036
t516,1128541576597331968,2,0.36806083
t517,1128541576597331968,3,0.6238229
t518,1128634085826605056,2,0.9196991
t519,1128634085826605056,3,0.03566296
t520,1128634085826605056,4,0.035206687
t521,1128665102159204353,2,0.9658297
t522,1128665102159204353,3,0.015175581
t523,1128665102159204353,4,0.014981463
t524,1128680969282756613,2,0.9197017
t525,1128680969282756613,3,0.03566148
t526,1128680969282756613,4,0.035205714
t527,1128686400449200129,2,0.68655616
t528,1128686400449200129,3,0.29444838
t529,1128686400449200129,4,0.014981992
t530,1128699878551347201,2,0.5873945
t531,1128699878551347201,3,0.40184882
t532,1128709005826609152,2,0.40092844
t533,1128709005826609152,3,0.5883153
t534,1128719378223071233,2,0.42014554
t535,1128719378223071233,3,0.5723521
t536,1128774181104050177,1,0.99665695
t537,1128795227546775554,2,0.3367918
t538,1128795227546775554,3,0.6494732
t539,1128795227546775554,4,0.010832997
t540,1128798013978271744,3,0.97260934
t541,1128798013978271744,4,0.014982085
t542,1128804877361188864,2,0.63502043
t543,1128804877361188864,3,0.3529148
t544,1128833427740995584,2,0.98065054
t545,1128833953148702720,3,0.977012
t546,1128833953148702720,4,0.012573947
t547,1128837461738549248,2,0.20906699
t548,1128837461738549248,3,0.7860276
t549,1129011993199824896,2,0.9782968
t550,1129031228584267776,2,0.9752917
t551,1129031228584267776,3,0.010973347
t552,1129031228584267776,4,0.010832966
t553,1129040456581619712,2,0.71992224
t554,1129040456581619712,3,0.26801336
t555,1129102371525500928,2,0.96582925
t556,1129102371525500928,3,0.015175802
t557,1129102371525500928,4,0.014981615
t558,1129119498215206912,3,0.98260367
t559,1129132234726727680,2,0.94462126
t560,1129132234726727680,3,0.024594544
