geoID,geoName,coordinateID
11,Tláhuac,c1133
11,Tláhuac,c1134
7,Iztapalapa,c1135
13,Xochimilco,c1136
7,Iztapalapa,c1137
14,Benito Juárez,c1138
12,Tlalpan,c1139
10,Álvaro Obregón,c1140
10,Álvaro Obregón,c1141
16,Miguel Hidalgo,c1142
7,Iztapalapa,c1143
6,Iztacalco,c1144
14,Benito Juárez,c1145
15,Cuauhtémoc,c1146
3,Coyoacán,c1147
12,Tlalpan,c1148
12,Tlalpan,c1149
14,Benito Juárez,c1150
7,Iztapalapa,c1151
15,Cuauhtémoc,c1152
3,Coyoacán,c1153
12,Tlalpan,c1154
3,Coyoacán,c1155
17,Venustiano Carranza,c1156
4,Cuajimalpa de Morelos,c1157
7,Iztapalapa,c1158
10,Álvaro Obregón,c1159
16,Miguel Hidalgo,c1160
5,Gustavo A. Madero,c1161
7,Iztapalapa,c1162
5,Gustavo A. Madero,c1163
12,Tlalpan,c1164
2,Azcapotzalco,c1165
12,Tlalpan,c1166
12,Tlalpan,c1167
4,Cuajimalpa de Morelos,c1168
7,Iztapalapa,c1169
12,Tlalpan,c1170
15,Cuauhtémoc,c1171
14,Benito Juárez,c1172
16,Miguel Hidalgo,c1173
3,Coyoacán,c1174
5,Gustavo A. Madero,c1175
4,Cuajimalpa de Morelos,c1176
15,Cuauhtémoc,c1177
10,Álvaro Obregón,c1178
11,Tláhuac,c1179
5,Gustavo A. Madero,c1180
6,Iztacalco,c1181
17,Venustiano Carranza,c1182
12,Tlalpan,c1183
14,Benito Juárez,c1184
17,Venustiano Carranza,c1185
15,Cuauhtémoc,c1186
16,Miguel Hidalgo,c1187
14,Benito Juárez,c1188
12,Tlalpan,c1189
5,Gustavo A. Madero,c1190
4,Cuajimalpa de Morelos,c1191
10,Álvaro Obregón,c1192
15,Cuauhtémoc,c1193
14,Benito Juárez,c1194
10,Álvaro Obregón,c1195
13,Xochimilco,c1196
15,Cuauhtémoc,c1197
3,Coyoacán,c1198
2,Azcapotzalco,c1199
2,Azcapotzalco,c1200
5,Gustavo A. Madero,c1201
16,Miguel Hidalgo,c1202
7,Iztapalapa,c1203
7,Iztapalapa,c1204
7,Iztapalapa,c1205
12,Tlalpan,c1206
11,Tláhuac,c1207
12,Tlalpan,c1208
5,Gustavo A. Madero,c1209
13,Xochimilco,c1210
7,Iztapalapa,c1211
5,Gustavo A. Madero,c1212
3,Coyoacán,c1213
14,Benito Juárez,c1214
17,Venustiano Carranza,c1215
8,La Magdalena Contreras,c1216
14,Benito Juárez,c1217
15,Cuauhtémoc,c1218
16,Miguel Hidalgo,c1219
7,Iztapalapa,c1220
12,Tlalpan,c1221
15,Cuauhtémoc,c1222
12,Tlalpan,c1223
12,Tlalpan,c1224
2,Azcapotzalco,c1225
12,Tlalpan,c1226
5,Gustavo A. Madero,c1227
10,Álvaro Obregón,c1228
7,Iztapalapa,c1229
5,Gustavo A. Madero,c1230
12,Tlalpan,c1231
8,La Magdalena Contreras,c1232
4,Cuajimalpa de Morelos,c1233
4,Cuajimalpa de Morelos,c1234
5,Gustavo A. Madero,c1235
14,Benito Juárez,c1236
16,Miguel Hidalgo,c1237
10,Álvaro Obregón,c1238
10,Álvaro Obregón,c1239
9,Milpa Alta,c1240
10,Álvaro Obregón,c1241
14,Benito Juárez,c1242
7,Iztapalapa,c1243
16,Miguel Hidalgo,c1244
3,Coyoacán,c1245
12,Tlalpan,c1246
7,Iztapalapa,c1247
12,Tlalpan,c1248
13,Xochimilco,c1249
5,Gustavo A. Madero,c1250
3,Coyoacán,c1251
6,Iztacalco,c1252
3,Coyoacán,c1253
13,Xochimilco,c1254
10,Álvaro Obregón,c1255
12,Tlalpan,c1256
6,Iztacalco,c1257
16,Miguel Hidalgo,c1258
12,Tlalpan,c1259
3,Coyoacán,c1260
3,Coyoacán,c1261
14,Benito Juárez,c1262
3,Coyoacán,c1263
3,Coyoacán,c1264
14,Benito Juárez,c1265
3,Coyoacán,c1266
3,Coyoacán,c1267
3,Coyoacán,c1268
3,Coyoacán,c1269
3,Coyoacán,c1270
3,Coyoacán,c1271
16,Miguel Hidalgo,c1272
7,Iztapalapa,c1273
14,Benito Juárez,c1274
16,Miguel Hidalgo,c1275
12,Tlalpan,c1276
5,Gustavo A. Madero,c1277
15,Cuauhtémoc,c1278
3,Coyoacán,c1279
3,Coyoacán,c1280
7,Iztapalapa,c1281
15,Cuauhtémoc,c1282
15,Cuauhtémoc,c1283
7,Iztapalapa,c1284
7,Iztapalapa,c1285
7,Iztapalapa,c1286
17,Venustiano Carranza,c1287
2,Azcapotzalco,c1288
7,Iztapalapa,c1289
12,Tlalpan,c1290
2,Azcapotzalco,c1291
7,Iztapalapa,c1292
7,Iztapalapa,c1293
12,Tlalpan,c1294
15,Cuauhtémoc,c1295
12,Tlalpan,c1296
4,Cuajimalpa de Morelos,c1297
2,Azcapotzalco,c1298
16,Miguel Hidalgo,c1299
7,Iztapalapa,c1300
11,Tláhuac,c1301
15,Cuauhtémoc,c1302
5,Gustavo A. Madero,c1303
7,Iztapalapa,c1304
15,Cuauhtémoc,c1305
13,Xochimilco,c1306
2,Azcapotzalco,c1307
5,Gustavo A. Madero,c1308
14,Benito Juárez,c1309
14,Benito Juárez,c1310
7,Iztapalapa,c1311
10,Álvaro Obregón,c1312
10,Álvaro Obregón,c1313
16,Miguel Hidalgo,c1314
2,Azcapotzalco,c1315
5,Gustavo A. Madero,c1316
7,Iztapalapa,c1317
15,Cuauhtémoc,c1318
7,Iztapalapa,c1319
15,Cuauhtémoc,c1320
16,Miguel Hidalgo,c1321
11,Tláhuac,c1322
14,Benito Juárez,c1323
16,Miguel Hidalgo,c1324
7,Iztapalapa,c1325
15,Cuauhtémoc,c1326
5,Gustavo A. Madero,c1327
7,Iztapalapa,c1328
7,Iztapalapa,c1329
7,Iztapalapa,c1330
7,Iztapalapa,c1331
11,Tláhuac,c1332
10,Álvaro Obregón,c1333
12,Tlalpan,c1334
13,Xochimilco,c1335
7,Iztapalapa,c1336
7,Iztapalapa,c1337
13,Xochimilco,c1338
5,Gustavo A. Madero,c1339
4,Cuajimalpa de Morelos,c1340
12,Tlalpan,c1341
10,Álvaro Obregón,c1342
15,Cuauhtémoc,c1343
10,Álvaro Obregón,c1344
7,Iztapalapa,c1345
