pubID,topicQuery,likeCount,replyCount,retweetCount,authorID,dateID,coordinateID
1132102703050440706,tránsito,2,0,3,1562015005,d341,c341
1132302236011204608,incendio,5,2,7,415242374,d342,c342
1133357276121698304,tránsito,0,0,0,47118109,d343,c343
1133838012951846912,incendio,0,1,0,800766784735350787,d344,c344
1133841511819489280,incendio,0,0,0,178467686,d345,c345
1133951895033266176,incendio,9,0,3,195951901,d346,c346
1134413540796829696,tránsito,1,2,0,1065408533628420097,d347,c347
1134476249085173760,tránsito,1,0,0,476050170,d348,c348
1134615492772032513,incendio,7,0,4,195951901,d349,c349
1134617339578789892,tránsito,0,0,0,69443790,d350,c350
1135242064562573313,incendio,2,0,3,87350793,d351,c351
1135620479841054721,tránsito,2,2,1,166594238,d352,c352
1135646585436614656,incendio,12,5,34,34523303,d353,c353
1135730218381955072,pirotecnia,0,0,1,304060350,d354,c354
1135740832244555776,tránsito,0,1,0,84120490,d355,c355
1136290866119581701,incendio,0,0,0,539317712,d356,c356
1136305992235458560,incendio,4,0,2,2826319492,d357,c357
1136456110007828486,incendio,0,2,2,222333413,d358,c358
1136746352904462336,tránsito,0,0,0,706090094,d359,c359
1137075116574203904,tránsito,0,1,0,232063328,d360,c360
1137118368778129408,tránsito,0,0,0,124906745,d361,c361
1137422783103819776,tránsito,0,0,0,2576089248,d362,c362
1137487694626525184,incendio,1,0,1,154649011,d363,c363
1137758412840865792,incendio,0,1,0,57385858,d364,c364
1137764440277786624,tránsito,0,0,0,2608991350,d365,c365
1137812048107036672,pirotecnia,0,0,1,43405460,d366,c366
1137889511361404930,incendio,5,0,4,87350793,d367,c367
1137920151842516992,tránsito,21,9,20,315451237,d368,c368
1138066578396913664,tránsito,1,0,0,163088870,d369,c369
1138691507291140096,tránsito,0,0,0,1117278274558803969,d370,c370
1139146121597468676,incendio,1,1,0,839079433634004993,d371,c371
1139156059065479168,incendio,1,1,0,115103743,d372,c372
1139314418750251008,tránsito,0,1,3,919269482,d373,c373
1139379232943960066,incendio,3,1,5,288809183,d374,c374
1139532083892649985,tránsito,0,0,0,102800874,d375,c375
1139691473199255552,tránsito,0,0,1,208834950,d376,c376
1139696841975451648,tránsito,0,0,0,903097695899934725,d377,c377
1139936985311670272,tránsito,2,2,1,2859210027,d378,c378
1140010442338652160,tránsito,0,1,0,162231246,d379,c379
1140427232269221888,tránsito,0,0,0,721051317280444416,d380,c380
1140630525784154112,tránsito,0,1,0,2859210027,d381,c381
