pubID,tokens,mentions,hashtags
1105110393997815808,"encontraras, carga, vehicular, av, observatorio, paseo, reforma, dirección, accidente, motocicleta",,"Precaución, AvConstituyentes, SantaFe, AlvaroObregon, Vial, Accidente, Transito, Cuajimalpa"
1105206359904215042,"favor, enviar, unidad, tránsito, infracción, trailer, rojo, poco, 716et7, violar, rt, estacionado, lugar, prohibido, disco, transporte, pesado, av, ángeles, av, sn, pablo, ferrocarriles, nacionales, col, nva, españa, alc, azcapotzalco",UCS_GCDMX,69
1105213662371885057,"tercero, semana, lunes, arder, xochimilco, pensar, poner, alto, personajes, vez, podar, prender, fuego",,
1105261884905832448,"favor, enviar, unidad, tránsito, infracción, trailer, rojo, poco, 716et7, violar, rt, estacionado, lugar, prohibido, disco, transporte, pesado, av, ángeles, av, sn, pablo, ferrocarriles, nacionales, col, nva, españa, alc, azcapotzalco",UCS_GCDMX,69
1105773217329745920,"servicio, emergencia, trabajar, incendio, establecimiento, eje, sur, genaro, estrada, colonia, renovación",Alc_Iztapalapa,"Precaución, C5"
1106213078843224065,"favor, enviar, unidad, tránsito, infracción, trailer, gris, poco, 957am9, violar, rt, estacionado, lugar, prohibido, disco, transporte, pesado, av, ángeles, av, sn, pablo, ferrocarriles, nacionales, col, nva, españa, alc, azcapotzalco",UCS_GCDMX,70
1106257966112694272,"favor, enviar, unidad, tránsito, infracción, trailer, bco, poco, 35ad20, violar, rt, estacionado, lugar, prohibido, disco, transporte, pesado, av, ángeles, av, sn, pablo, ferrocarriles, nacionales, col, nva, españa, alc, azcapotzalco",UCS_GCDMX,70
1106271380952084481,"denuncia, ciudadano, bafta, apropeír, banqueta, carril, vialidad, cilindro, naranja, insurgente, 383, violar, reglamento, tránsito, vialidad, manden, retirar él, cumplir, reglamento, transito","ANTICORRUPCIO17, Claudiashein, nenulo, AmIoPresidente, UCS_GCDMX",
1106394363716866049,"favor, enviar, unidad, tránsito, infracción, trailer, azul, poco, 21ae2y, violar, rt, estacionado, lugar, prohibido, disco, transporte, pesado, obstruir, entrada, av, ángeles, av, sn, pablo, ferrocarriles, nacionales, col, nva, españa, alc, azcapotzalco",UCS_GCDMX,70
1106664729894928390,"hola, buena, tarde, querer, reportar, auto, estacionado, tlalpan, frente, estación, policía, viaducto, hacer, tráfico",UCS_GCDMX,
1106686018051297280,"favor, enviar, unidad, tránsito, infracción, trailer, amarillo, poco, 22ah4s, violar, rt, estacionado, lugar, prohibido, disco, transporte, pesado, av, ángeles, 70, av, sn, pablo, ferrocarriles, nacionales, col, nva, españa, alc, azcapotzalco","OVIALCDMX, SSP_CDMX",
1106853150152101888,"prolongación, miguel, cerdo, tejada, cuautepec, barrio, alto, gustavo, madero, reportado, recomendar, tener, cuidado, transitar, zona",,"accidente, tránsito, CruzRojaMexicana"
1107876102775676928,"bombero, camino, incendio, basura, autopista, méxico-puebla, km, 19, 500, col, san, miguel, teotongo",Alc_Iztapalapa,"Precaución, C5"
1108218053408538624,"favor, enviar, unidad, tránsito, infracción, trailer, rojo, poco, 79ak5s, violar, rt, estacionado, lugar, prohibido, disco, transporte, pesado, av, ángeles, av, sn, pablo, ferrocarriles, nacionales, col, nva, españa, alc, azcapotzalco",UCS_GCDMX,68
