dateID,pubDate,pubYear,pubMonth,pubDay,pubHour,pubMinute
d449,2019-07-23 12:45:38,2019,7,23,12,45
d450,2019-07-23 13:10:51,2019,7,23,13,10
d451,2019-07-23 16:38:16,2019,7,23,16,38
d452,2019-07-24 09:02:21,2019,7,24,9,2
d453,2019-07-24 23:28:51,2019,7,24,23,28
d454,2019-07-25 07:09:03,2019,7,25,7,9
d455,2019-07-26 09:16:29,2019,7,26,9,16
d456,2019-07-29 17:14:38,2019,7,29,17,14
d457,2019-07-29 19:15:36,2019,7,29,19,15
d458,2019-07-29 19:51:14,2019,7,29,19,51
d459,2019-08-01 10:59:34,2019,8,1,10,59
d460,2019-08-01 21:03:11,2019,8,1,21,3
d461,2019-08-02 11:35:09,2019,8,2,11,35
d462,2019-08-03 20:14:10,2019,8,3,20,14
d463,2019-08-03 21:14:56,2019,8,3,21,14
d464,2019-08-04 12:32:39,2019,8,4,12,32
d465,2019-08-05 08:58:15,2019,8,5,8,58
d466,2019-08-05 09:43:32,2019,8,5,9,43
d467,2019-08-05 22:19:38,2019,8,5,22,19
d468,2019-08-06 14:35:12,2019,8,6,14,35
d469,2019-08-06 22:36:09,2019,8,6,22,36
d470,2019-08-07 16:58:42,2019,8,7,16,58
d471,2019-08-08 08:00:36,2019,8,8,8,0
d472,2019-08-08 12:24:43,2019,8,8,12,24
d473,2019-08-08 13:47:35,2019,8,8,13,47
d474,2019-08-09 17:16:07,2019,8,9,17,16
d475,2019-08-11 14:23:51,2019,8,11,14,23
d476,2019-08-11 14:58:02,2019,8,11,14,58
d477,2019-08-12 14:18:42,2019,8,12,14,18
d478,2019-08-12 18:17:03,2019,8,12,18,17
d479,2019-08-12 18:54:56,2019,8,12,18,54
d480,2019-08-12 20:03:30,2019,8,12,20,3
d481,2019-08-12 21:38:23,2019,8,12,21,38
d482,2019-08-13 08:45:47,2019,8,13,8,45
d483,2019-08-13 10:43:44,2019,8,13,10,43
d484,2019-08-15 12:59:32,2019,8,15,12,59
d485,2019-08-15 17:54:13,2019,8,15,17,54
d486,2019-08-15 23:57:31,2019,8,15,23,57
d487,2019-08-16 06:54:22,2019,8,16,6,54
d488,2019-08-16 10:34:38,2019,8,16,10,34
d489,2019-08-16 14:56:57,2019,8,16,14,56
d490,2019-08-16 16:03:19,2019,8,16,16,3
d491,2019-08-16 17:03:40,2019,8,16,17,3
d492,2019-08-17 22:58:18,2019,8,17,22,58
d493,2019-08-18 00:21:59,2019,8,18,0,21
d494,2019-08-18 07:18:47,2019,8,18,7,18
d495,2019-08-18 11:25:13,2019,8,18,11,25
d496,2019-08-18 19:30:35,2019,8,18,19,30
d497,2019-08-19 08:10:35,2019,8,19,8,10
d498,2019-08-19 08:23:29,2019,8,19,8,23
d499,2019-08-20 07:46:45,2019,8,20,7,46
d500,2019-08-20 22:10:42,2019,8,20,22,10
d501,2019-08-21 00:00:44,2019,8,21,0,0
d502,2019-08-21 08:45:15,2019,8,21,8,45
d503,2019-08-23 11:02:09,2019,8,23,11,2
d504,2019-08-24 11:33:10,2019,8,24,11,33
d505,2019-08-26 07:52:14,2019,8,26,7,52
d506,2019-08-26 10:39:57,2019,8,26,10,39
d507,2019-08-26 11:32:44,2019,8,26,11,32
d508,2019-08-29 07:28:50,2019,8,29,7,28
d509,2019-08-29 08:53:25,2019,8,29,8,53
d510,2019-08-30 09:46:43,2019,8,30,9,46
d511,2019-08-30 09:54:51,2019,8,30,9,54
