coordinateID,geoID,geoName,longitude,latitude
c433,10,Álvaro Obregón,-99.246819712,19.336175562
c434,16,Miguel Hidalgo,-99.17998438382864,19.43718449956239
c435,3,Coyoacán,-99.1503763525,19.3266672536
c436,2,Azcapotzalco,-99.1821069423,19.4853286147
c437,12,Tlalpan,-99.2062207957,19.1983396763
c438,10,Álvaro Obregón,-99.246819712,19.336175562
c439,3,Coyoacán,-99.1503763525,19.3266672536
c440,11,Tláhuac,-99.0028216137,19.2769983772
c441,12,Tlalpan,-99.140238,19.2846922
c442,16,Miguel Hidalgo,-99.180678,19.444937
c443,12,Tlalpan,-99.2062207957,19.1983396763
c444,11,Tláhuac,-99.0028216137,19.2769983772
c445,13,Xochimilco,-99.0903636045,19.2451450458
c446,16,Miguel Hidalgo,-99.1843501,19.3998346
c447,12,Tlalpan,-99.2058092,19.2970107
c448,12,Tlalpan,-99.2058092,19.2970107
c449,16,Miguel Hidalgo,-99.1843501,19.3998346
c450,16,Miguel Hidalgo,-99.180678,19.444937
c451,10,Álvaro Obregón,-99.246819712,19.336175562
c452,7,Iztapalapa,-99.0567989642,19.3491663204
c453,7,Iztapalapa,-99.0567989642,19.3491663204
c454,2,Azcapotzalco,-99.1821069423,19.4853286147
c455,7,Iztapalapa,-99.0567989642,19.3491663204
c456,12,Tlalpan,-99.2062207957,19.1983396763
c457,16,Miguel Hidalgo,-99.180678,19.444937
c458,6,Iztacalco,-99.094329797,19.396911897
c459,3,Coyoacán,-99.1503763525,19.3266672536
c460,3,Coyoacán,-99.1503763525,19.3266672536
c461,7,Iztapalapa,-99.0567989642,19.3491663204
c462,2,Azcapotzalco,-99.1821069423,19.4853286147
c463,2,Azcapotzalco,-99.1821069423,19.4853286147
c464,7,Iztapalapa,-99.0567989642,19.3491663204
c465,7,Iztapalapa,-99.067766,19.3668621
c466,14,Benito Juárez,-99.1611346584,19.3806424162
c467,15,Cuauhtémoc,-99.1490557562,19.4313734294
c468,4,Cuajimalpa de Morelos,-99.3107285253,19.3246343001
c469,6,Iztacalco,-99.137171,19.375769
c470,17,Venustiano Carranza,-99.0931057959,19.4304954545
c471,7,Iztapalapa,-99.1214253506809,19.380122210840145
c472,2,Azcapotzalco,-99.1821069423,19.4853286147
c473,2,Azcapotzalco,-99.1821069423,19.4853286147
c474,11,Tláhuac,-99.0028216137,19.2769983772
c475,12,Tlalpan,-99.2062207957,19.1983396763
