pubID,topicQuery,tweet,likeCount,replyCount,retweetCount,authorID,dateID,geoID
1098029729683255296,tránsito,"“ESCUADRÓN” PROVOCA UN ACCIDENTE AL CRUZAR LA CALLE SIN PRECAUCIÓN.  Se registró un accidente de tránsito en la avenida Benito Juárez con 35, donde “un escuadrón de la muerte” cruzó la calle sin percatarse y fue... https://t.co/5dW0qd2MLK",0,0,0,1260334975,d82,14
1098036477068484609,incendio,@GobCDMX Quiero reportar incendió forestal en el cerro De San Pedro Zacatenco en@la@delegacion Gustavo a Madero,0,0,0,910243021928660993,d83,5
1098098315483320320,tránsito,"#EnEsteMomento tránsito lento, MUY LENTO, en carretera federal Mexico-Toluca desde el Puente de Conafrut y hasta Paseo de la Reforma y Avenida de Constituyentes por presencia de peregrinos. CIRCULE CON PRECAUCIÓN https://t.co/ZigT1y32fC",3,0,2,140813267,d84,15
1098314498257997824,tránsito,"Tráfico pesado sobre periférico. #Precaución  Bomberos en camino  por incendio de pastizal sobre Periférico y Canal Nacional, Col. Parque Ecológico, Xochimilco, @XochimilcoAl #C5. #detodoen https://t.co/JxE0S8UmV2 https://t.co/dmJmCCTb5Q",1,0,2,600630501,d85,13
1098325707053248512,incendio,"Fuerte incendio de pastizal en la zona del Parque Ecológico, Xochimilco. Precaución. Vía @C5_CDMX. https://t.co/tMfYBF5scm",14,1,7,183858888,d86,13
1098352948193775616,incendio,"Auxilio, incendio incontrolable entre Chalco -Xochimilco, huele mucho a quemado y la contaminación es impresionanteya nos duele la cabeza",0,0,0,296915250,d87,13
1098357539903864832,incendio,Nube de contaminación por enorme incendio en la@zona ecológica  en Xochimilco esta tarde https://t.co/ACqTuLHpHA,1,0,3,110413134,d88,13
1098370465326870528,incendio,"El humo se extiende a las alcaldías Tláhuac, Coyoacán y Tlalpan. El @C5_CDMX informó que por precaución se han cerrado las vialidades de Anillo Periférico Oriente y Antiguo Canal de Cuemanco. https://t.co/lVIDfHtDjO",130,17,132,35977487,d89,3
1098383733420445703,incendio,Hoy estuvimos en Xochimilco y nos tocó ver de cerca el incendio. Es un área de alto valor ambiental que debemos recuperar y preservar. https://t.co/dACtjq3qYr,2,0,0,61788290,d90,13
1098438655981617152,incendio,"Incendio en #Xochimilco y #Popocatépetl muy activo; más humo y contaminación, capitalinos #CDMX como si nada.",0,0,0,88882540,d91,13
1098571393699000320,tránsito,Precaución. No funcionan los semáforos en colonia Chapalita Oriente en calles Cuauhtémoc y Av.Tepeyac @TransporteJal @JaliscoVial @Trafico_ZMG,0,1,0,75028481,d92,15
1098603986406596608,tránsito,"@MHcesac @vromog @VILLALVAZO13 @inveacdmx @AlcaldiaMHmx @MhVigilante @CDMX_Semovi  Día 3 así en presa Falcón de todos los camiones hoy sólo hubo 1, pero de nuevo pregunto ¿No esta prohibido cerrar una calle según tu reglamento de tránsito? Ha!! y autos estorbando el pasó https://t.co/xejR0HHyto",0,0,0,784910771054481408,d93,15
1098607951856746496,tránsito,Choque en súper vía entrada tlalpan  precaución... #Trafico #accidentedetransito #choque @asilascosasw @warkentin https://t.co/vj0BmnryJ8,0,0,0,2181220531,d94,12
1098614527820791810,tránsito,@SSP_CDMX @locatel_mx @AlcCuauhtemocMx @Claudiashein imposible el tránsito fuera del hospital general de México. Toda la calle Dr Pasteur Urge se respete el reglamento los taxis hacen base indebida autos estacionados en doble fila en lugar prohibido. La calle llena de baches,0,2,0,1037504796008308736,d95,10
1098718921329324032,tránsito,"Oigan @UCS_GCDMX @trafico889 @ApoyoVial que piensan que por las placas pueden hacer su regalada voluntad. Entre Rio Sena y Río Balsas, col. Cuauhtémoc. Lugar prohibido y además sin pagar. #culturavial #Trafico https://t.co/6596XvY3t9",4,1,6,187297417,d96,15
1098723225972879360,incendio,"@mfgalexander Un poco de contaminación, más el incendio en Xochimilco, supongo.",1,1,0,108448758,d97,13
1099100368531832839,tránsito,"@UCS_GCDMX, @transito_CDMX, Favor de pasar a infraccionar trailer Bco Pcas 284EV6, infringiendo RT, estacionado en lugar prohibido C/disco ""N/E Transporte Pesado"", obstruyendo entrada en Av Los Ángeles #69, entre And Troncoso y And Valladolid, Col Nva España, Alcal. Azcapotzalco.",0,0,0,907034630095867905,d98,2
1099742610204356610,tránsito,@VILLALVAZO13 Ayúdanos a denunciar lo que hacen los de la R57 en la alcaldía Álvaro Obregón. En av. Centenario es insoportable el tráfico que hacen,0,1,1,185751836,d99,10
